ISSN;Titulo;√?rea de Avalia√ß√£o;QUALIS
0360-0300;ACM COMPUTING SURVEYS;CI√?NCIA DA COMPUTA√?√?O;A1
0730-0301;ACM TRANSACTIONS ON GRAPHICS;CI√?NCIA DA COMPUTA√?√?O;A1
0098-3500;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;CI√?NCIA DA COMPUTA√?√?O;A1
0254-5330;ANNALS OF OPERATION RESEARCH;CI√?NCIA DA COMPUTA√?√?O;A1
1572-9338;ANNALS OF OPERATIONS RESEARCH (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
0096-3003;APPLIED MATHEMATICS AND COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;A1
1568-4946;APPLIED SOFT COMPUTING (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0004-3702;ARTIFICIAL INTELLIGENCE (GENERAL ED.);CI√?NCIA DA COMPUTA√?√?O;A1
0005-1098;AUTOMATICA (OXFORD);CI√?NCIA DA COMPUTA√?√?O;A1
0929-5593;AUTONOMOUS ROBOTS;CI√?NCIA DA COMPUTA√?√?O;A1
1367-4803;BIOINFORMATICS (OXFORD. PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0340-1200;BIOLOGICAL CYBERNETICS;CI√?NCIA DA COMPUTA√?√?O;A1
1471-2105;BMC BIOINFORMATICS;CI√?NCIA DA COMPUTA√?√?O;A1
1467-5463;BRIEFINGS IN BIOINFORMATICS;CI√?NCIA DA COMPUTA√?√?O;A1
1007-5704;COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION;CI√?NCIA DA COMPUTA√?√?O;A1
0001-0782;COMMUNICATIONS OF THE ACM;CI√?NCIA DA COMPUTA√?√?O;A1
1467-8659;COMPUTER GRAPHICS FORUM (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
0167-7055;COMPUTER GRAPHICS FORUM (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0018-9162;COMPUTER (LONG BEACH, CALIF. PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0045-7825;COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;A1
1389-1286;COMPUTER NETWORKS (1999);CI√?NCIA DA COMPUTA√?√?O;A1
0010-4655;COMPUTER PHYSICS COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;A1
